dia_criacao,median,mean,count
0,5.22,5.191124203821656,3140
1,5.68,5.241635439822166,3149
2,5.7,5.2079485550968565,3149
3,0.0,1.6110615801498327,18821
4,0.0,2.193682701497292,18834
5,0.0,0.8968784019447235,18923
6,0.0,1.2705716859171348,18874
7,0.0,1.9935003711952488,18858
8,0.0,2.6820388349514563,18849
9,0.0,2.5046093129204854,18877
10,0.0,1.807722819467246,18883
11,0.0,1.6058106891254833,18879
12,0.0,2.021181524102455,18857
13,0.0,2.1354733273295547,18877
14,0.0,2.4814919354838714,18848
15,0.0,2.6617213809170814,18886
16,0.0,3.376120798130505,16689
17,0.0,4.510658486707566,14670
18,0.0,5.2567302322413685,14683
19,0.0,2.725305633240112,17521
20,0.0,4.107678755291157,17482
21,0.0,3.865806156833628,17509
22,0.0,2.8259023136246784,17505
23,0.0,3.775984148705668,17538
24,0.0,4.644083461779985,17517
25,0.0,4.970126705096741,17521
26,0.0,4.871355246667426,17554
27,0.0,6.3590094258783205,17505
28,0.0,7.800977535977537,17094
29,0.0,5.884537137629367,17489
30,0.0,7.8419066636239165,17528
31,0.0,8.32821738138686,17536
32,0.0,5.441184952978056,17545
33,0.0,7.007320713713828,17486
34,0.0,7.156986066697122,17512
35,0.0,7.126085625296944,18943
36,0.0,8.246899609416236,18946
37,0.0,9.554133467187995,18926
38,0.0,10.46033631219925,18911
39,0.0,11.638330865242226,18908
40,0.0,11.17054605158625,18881
41,0.0,7.919344869556014,18897
42,0.0,7.960860527846829,18907
43,0.0,8.430824019401097,18968
44,0.0,9.163001486673037,18834
45,0.0,10.05715590484282,18832
46,0.0,9.387741866893473,18812
47,0.0,5.9661664284579965,18891
48,0.0,5.484879712367155,18913
49,0.0,3.7263751141675177,18613
50,0.0,1.3947180378524529,5178
